PlayerID,PlayerName,Age,Gender,Region,Platform,FavoriteGenre,GamePlayed,AvgSessionDuration_Min,SessionsPerWeek,PurchaseType,MonthlySpend_USD,Rank,LastPlayedDate
90fd8c06-d3ca-4f45-8bcf-5db10460bd7b,Carrie Hunt,42,Other,North America,Console,Shooter,Apex Legends,174,3,One-time purchase,13.42,Bronze,2025-02-20
f5b650ae-e832-483a-b4c4-3d02ca1e343f,Matthew Kim,39,Other,North America,Console,Shooter,CS:GO,64,13,Subscription,13.01,Gold,2025-07-18
56eb7b24-a6c1-4aa3-b357-7b83915bff8c,Craig Buck,14,Other,South America,PC,Adventure,Uncharted,45,19,In-game purchase,7.99,Master,2025-03-04
257f4999-6bc3-4d88-9646-4b08bbdc4cc7,Jennifer Garner,27,Other,Africa,Console,Action,Call of Duty,37,19,One-time purchase,71.14,Platinum,2025-01-09
e8800290-e952-45ce-a1fc-b026313c1150,Ian Sawyer,15,Other,South America,Mobile,RPG,Skyrim,97,16,None,0.0,Silver,2025-03-15
52a9a097-a282-4fe5-a138-c16a1efed527,Laura Merritt,39,Female,Africa,Mobile,Sports,NBA 2K24,13,2,Subscription,7.17,Platinum,2025-07-26
23d00e57-2c63-4f31-af60-b88a055700ad,Kathy Hicks,20,Female,Africa,Console,Sports,NBA 2K24,18,11,Subscription,50.17,Silver,2025-03-16
4d1085c7-b625-4095-8200-d61808ddae43,Noah Fisher,44,Female,Africa,Mobile,RPG,Elden Ring,150,10,Subscription,76.9,Platinum,2025-04-23
263b8e03-3c46-4b2a-a04c-2447bacb12f8,Peter Baker,23,Other,Oceania,Console,Simulation,Flight Simulator,169,5,Subscription,37.69,Platinum,2025-03-16
137bcc88-ffcd-4095-8fbe-1fca6d3d6211,Victor Ruiz II,31,Female,Africa,PC,Simulation,Farming Simulator,93,2,Subscription,67.5,Diamond,2025-05-05
c8edee17-0cac-4381-823e-9aaf6ce7cbf7,Michael Cole,26,Other,Africa,Mobile,Adventure,The Legend of Zelda,108,10,In-game purchase,44.06,Bronze,2025-04-12
a8919f69-5a12-4f5d-bcfd-7781f725cad4,Gina Stanley,30,Female,Africa,Console,Sports,NBA 2K24,87,20,One-time purchase,76.7,Silver,2025-07-27
6231798d-7fe3-40d7-977e-f6826d0e813f,Jeffrey Noble,25,Other,North America,Mobile,Sports,NBA 2K24,80,20,None,0.0,Master,2025-07-12
c818c26a-8e69-4789-9112-de5c5fe5a819,Linda Mendoza,32,Other,North America,Console,Strategy,StarCraft II,176,20,In-game purchase,70.64,Diamond,2025-06-20
f2e2fefd-26f3-4653-88b5-e5f475f31d96,Morgan Rodriguez,24,Female,Asia,Console,Action,Call of Duty,75,4,In-game purchase,27.42,Bronze,2025-06-30
